scenario,exclude,species,R0,A,M,steepness,Linf.mean,Linf.min,Linf.max,k,t0,Lmat.over.Linf,a,b,Lmin,Lmax,F,G,CV,a.fec,b.fec
HS,0,Thunnus obesus ,1.00E+06,34,0.35,0.6,207.4,143.1,271.7,0.23,0,0.6,1.78E-02,3.01,124.4,186.7,0.35,101,0.1,6.4393E-03,2.050
HS,0,Merluccius hubbsi,1.00E+06,21,0.58,0.6,80.7,55.7,105.7,0.355,0,0.6,9.10E-03,2.94,48.4,72.6,0.58,101,0.1,6.9788E+00,1.060
HS,0,Thunnus alalunga,1.00E+06,36,0.33,0.6,124.0,85.6,162.4,0.228,0,0.6,2.57E-02,2.75,74.4,111.6,0.33,101,0.1,2.3106E-07,3.500
HS,0,Sprattus sprattus,1.00E+06,16,0.73,0.6,13.7,9.5,17.9,0.42,0,0.6,5.60E-03,3.09,8.2,12.3,0.73,101,0.1,2.1020E+00,1.230
HS,0,Clupea pallasii,1.00E+06,24,0.5,0.6,26.3,18.1,34.5,0.36,0,0.6,8.70E-03,3.04,15.8,23.7,0.5,101,0.1,1.1136E+00,1.320
HS,0,Gadus macrocephalus,1.00E+06,32,0.37,0.6,100.0,69.0,131.0,0.18,0,0.6,6.60E-03,3.15,60.0,90.0,0.37,101,0.1,3.5107E+00,1.157
HS,0,Tenualosa ilisha,1.00E+06,22,0.55,0.6,61.5,42.4,80.6,0.275,0,0.6,1.58E-02,2.92,36.9,55.4,0.55,101,0.1,1.1136E+00,1.320
HS,0,Rastrelliger kanagurta,1.00E+06,16,0.75,0.6,32.5,22.4,42.6,0.58,0,0.6,5.90E-03,3.2,19.5,29.3,0.75,101,0.1,2.4691E-04,2.512
HS,0,Harpadon nehereus,1.00E+06,9,1.3,0.6,43.0,29.7,56.3,0.81,0,0.6,1.70E-03,3.32,25.8,38.7,1.3,101,0.1,4.2578E+00,1.130
HS,0,Euthynnus affinis,1.00E+06,13,0.93,0.6,81.0,55.9,106.1,0.56,0,0.6,1.70E-02,3.02,48.6,72.9,0.93,101,0.1,8.5641E+00,1.031
HS,0,Decapterus russelli,1.00E+06,8,1.42,0.6,32.6,22.5,42.6,0.75,0,0.6,1.02E-02,3,19.5,29.3,1.42,101,0.1,3.6869E-08,3.760
HS,0,Ethmalosa fimbriata,1.00E+06,24,0.49,0.6,30,20.7,39.3,0.43,0,0.6,9.50E-03,3.12,18.0,27.0,0.49,101,0.1,3.4452E+00,1.160
HS,0,Scomber japonicus,1.00E+06,24,0.5,0.6,39,26.9,51.1,0.39,0,0.6,4.30E-03,3.25,23.4,35.1,0.5,101,0.1,5.1591E-01,1.429
HS,0,Sardina pilchardus ,1.00E+06,9,1.4,0.6,17.2,11.9,22.5,0.53,0,0.6,5.20E-03,3.14,10.3,15.5,1.4,101,0.1,2.1020E+00,1.230
HS,0,Micromesistius poutassou,1.00E+06,31,0.39,0.6,35.9,24.8,47.0,0.32,0,0.6,3.80E-03,3.16,21.5,32.3,0.39,101,0.1,2.9916E+00,1.180
HS,0,Brevoortia patronus,1.00E+06,15,0.8,0.6,24.8,17.1,32.5,0.48,0,0.6,7.80E-03,3.23,14.9,22.3,0.8,101,0.1,4.4483E-01,1.450
